LINEA,SKU,MODELO,COLOR,DESCRIPCION,GENERICO,TIPO,SUBTIPO,PACK,CANTIDAD,PRECIO
PVH,551527,VAPHA007,COLORES,KN95 NINOS COLORES,E,SA,COV,COV,401,0
SBN,16614,SAVLD,,CLEANER GP,E,S,FAC_RV,,3,0
SBN,17755,SUS60C,,EQUIPO DE INICIACION BLANDO,E,S,SOL,SOL,656,0
SBN,215072,SSBLM,, GOTAS HUMECTANTES LACRIFRESH,E,S,SOL,SOL,21,0
SBN,506974,ALVERA,,UNICA CON ALOE VERA,E,S,SOL,SOL,672,0
SEN,551293,SSWA-CASE,BB,DIRECT-CASE,E,E,ESTEB,ESTEB,6000,0
SFM,551348,CUBREKN95,BLANCO/AZUL,CUBRE-KN95,E,SA,COV,COV,800,0
SLM,551351,750300219680,TRANSPARENTE,SANIFEX SPRAY 170,E,SA,LIMP,LIMP,1,0
SLM,551352,750300219681,BLANCO,SANIFEX TOALLAS 30,E,SA,LIMP,LIMP,58,0
SO,216080,SODM50,BB,",/SODM50/ACCESORIOS/LINEA POLARIZADO////62/17//",E,R,CLIP,CLIP,652,0
SO,216081,SODM50,EE,",/SODM50/ACCESORIOS/LINEA POLARIZADO////62/17//",E,R,CLIP,CLIP,650,0
SO,216082,SODM50,NN,",/SODM50/ACCESORIOS/LINEA POLARIZADO////62/17//",E,R,CLIP,CLIP,275,0
SO,216083,SODM51,NN,",/SODM51/ACCESORIOS/LINEA POLARIZADO////62/18//",E,R,CLIP,CLIP,273,0
SO,216084,SODM52,BB,",/SODM52/ACCESORIOS/LINEA POLARIZADO////62/14//",E,R,CLIP,CLIP,644,0
SO,216085,SODM52,EE,",/SODM52/ACCESORIOS/LINEA POLARIZADO////62/14//",E,R,CLIP,CLIP,402,0
SO,216086,SODM52,NN,",/SODM52/ACCESORIOS/LINEA POLARIZADO////62/14//",E,R,CLIP,CLIP,329,0
URS,5633,UH0014,VARIOS,PORTALENTE DE PIEL,E,C,FAC_RV,,2,0
